順位,駅名,m2単価（万円）,前年比
454位,競艇場前駅,24.2,0.80%
455位,和光市駅,24,-
456位,花小金井駅,23.9,1.10%
457位,恋ケ窪駅,23.9,0.40%
458位,西立川駅,23.8,1.10%
459位,谷在家駅,23.4,2.20%
460位,砂川七番駅,23.2,1.10%
461位,青梅街道駅,23.1,0.90%
462位,泉体育館駅,23,0.90%
463位,南多摩駅,22.9,2.50%
464位,京王よみうりランド駅,22.7,2.30%
465位,南町田駅,22.5,1.40%
466位,聖蹟桜ヶ丘駅,22.5,0.10%
467位,矢野口駅,22.5,2.60%
468位,小平駅,22.4,1%
469位,昭島駅,22.4,1.40%
470位,見沼代親水公園駅,22.1,2.30%
471位,小菅駅,22.1,2.30%
472位,豊田駅,22.1,1.20%
473位,萩山駅,22,1.20%
474位,鷹の台駅,21.7,1.10%
475位,稲城長沼駅,21.7,2.20%
476位,八王子駅,21.5,0.20%
477位,舎人公園駅,21.2,1.90%
478位,日野駅,21.1,1%
479位,新小平駅,21,1.20%
480位,京王多摩センター駅,21,-0.10%
481位,小川駅,20.4,1.10%
482位,足立小台駅,20.3,1%
483位,稲城駅,20.2,1.30%
484位,つくし野駅,20,0.60%
485位,八潮駅,20,1.50%
486位,すずかけ台駅,20,0.10%
487位,京王八王子駅,19.9,0.60%
488位,清瀬駅,19.9,0.90%
489位,唐木田駅,19.9,-
490位,若葉台駅,19.8,3.10%
491位,成瀬駅,19.8,0.30%
492位,百草園駅,19.7,0.20%
493位,東中神駅,19.6,0.80%
494位,江北駅,19.6,1.60%
495位,東村山駅,19.5,1.30%
496位,舎人駅,19.3,1.80%
497位,東大和市駅,19.3,0.80%
498位,谷塚駅,19,1.10%
499位,甲州街道駅,18.5,1.10%
500位,玉川上水駅,18.3,0.50%
501位,京王永山駅,18.3,-0.10%
502位,柴崎体育館駅,18.2,1.10%
503位,新百合ヶ丘駅,18.2,1.10%
504位,八王子みなみ野駅,18,-
505位,中神駅,18,0.60%
506位,新秋津駅,17.8,1%
507位,玉川学園前駅,17.7,-0.40%
508位,秋津駅,17.6,1%
509位,牛浜駅,17.3,1%
510位,南平駅,17.2,0.20%
511位,京王堀之内駅,17,0.90%
512位,西武園駅,16.7,0.30%
513位,西武遊園地駅,16.6,0.60%
514位,桜街道駅,16.3,0.90%
515位,河辺駅,16.1,-0.20%
516位,こどもの国駅,15.7,-0.60%
517位,拝島駅,15.7,0.90%
518位,武蔵大和駅,15.6,0.70%
519位,熊川駅,15.5,0.60%
520位,古淵駅,15.5,0.30%
521位,西八王子駅,14.9,0.40%
522位,柿生駅,14.6,-
523位,橋本駅,14.6,-
524位,鶴川駅,14.5,-0.20%
525位,武蔵砂川駅,14.4,0.40%
526位,長沼駅,14.2,-0.20%
527位,上北台駅,13.8,0.50%
528位,大塚・帝京大学駅,13.6,0.70%
529位,多摩境駅,13.6,-0.10%
530位,片倉駅,13.6,0.20%
531位,平山城址公園駅,13.6,-0.90%
532位,程久保駅,13.4,-1.10%
533位,京王片倉駅,13.3,0.40%
534位,羽村駅,13.1,0.40%
535位,山田駅,13.1,0.30%
536位,小作駅,12.9,-
537位,南大沢駅,12.9,0.30%
538位,めじろ台駅,12.9,-0.10%
539位,北野駅,12.8,-0.20%
540位,北八王子駅,12.7,0.40%
541位,東福生駅,12.6,0.40%
542位,西武立川駅,12.4,0.20%
543位,多摩動物公園駅,12.1,-0.80%
544位,狭間駅,11.6,-
545位,淵野辺駅,11.5,-0.30%
546位,東秋留駅,11,0.10%
547位,秋川駅,11,-
548位,小宮駅,10.2,-0.20%
549位,武蔵引田駅,10.2,-
550位,青梅駅,9.7,-1%
551位,箱根ケ崎駅,9.3,0.10%
552位,相原駅,8.8,-0.40%
553位,高尾駅,8.8,-0.20%
554位,武蔵増戸駅,8.6,-
555位,東青梅駅,8.6,-1.20%
556位,宮ノ平駅,6.6,-1.60%
557位,日向和田駅,6.4,-1.10%
558位,武蔵五日市駅,6.4,-0.10%
559位,二見港駅,5.2,-
560位,二俣尾駅,4.9,-1%
561位,軍畑駅,4.6,-0.90%
562位,元町港駅,4.5,-
563位,三根出張所前停駅,3.1,-
564位,役場前停駅,1.4,-
565位,裁判所前停駅,1.2,-
566位,錆ヶ浜港入口停駅,1.1,-0.90%
567位,法務局前停駅,1,-1%
568位,錆ヶ浜停駅,0.8,-1.20%
569位,神津島港駅,0.8,-
570位,新島港駅,0.8,-
571位,中之郷出張所前停駅,0.6,-
572位,下地停駅,0.6,-
